PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/9/2023,1,1,1000036206,Right,T_A,1000102964,Right,T_B,1,Top,0,0,0,0-0,Slider,Slider,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,80.06796,0.361239,-0.53832,2456.2509,66.414081,8:15,5.28821,0.62339,4.76956,-49.01066,-3.06835,-10.65749,1.54649,-0.77511,72.86454,-8.476788,-2.414979,0.48784,80.05394,24.266298,0.082854,2613.300708,109.94985,39.89941,3.32066,272.57937,269.32485,3.745095,3.775439,5.09524,-1.21228,-0.55949,50,5.28124,1.54684,-116.03454,-1.11552,6.86087,24.21574,-33.80643,77.26387,44.92603,7.20342,2.07823,1.67877,0.75765,1000079507,Right,55.72995,-117.22425,12.10787,5.29524,0.54537,-16.90321,-0.62721,1.20977,3.43043,191.483887,2.07774,107.05223,-18.06523,4.2189,-0.99975,0.2636,-0.06115,0.0088,-0.00053,1.67928,48.23955,-13.84851,0.03416,0.24706,-0.13377,0.03873,-0.00549,0.00029,0.75773,0.15226,2.07491,-0.43298,0.10178,-0.03057,0.00801,-0.00122,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
2,2/9/2023,2,1,1000036206,Right,T_A,8886045,Left,T_B,1,Top,1,0,0,0-0,Fastball,Sinker,InPlay,Undefined,Bunt,,Single,0,0,90.32077,-1.760704,-1.295945,2263.744995,241.199814,2:00,5.26961,0.66013,5.45703,-23.97257,11.20016,18.14237,1.6228,0.95868,81.89977,-6.215115,1.936258,0.426849,,,,,,,,,,,,-9.65217,6.5428,-0.55916,50,5.09818,2.16222,-130.96974,-4.87824,-16.57056,30.65711,-20.94158,88.30388,,8.421,,,,1000079507,Right,55.04281,-132.14488,15.32855,5.26978,-4.07552,-10.47079,-0.65422,2.7974,-8.28528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/9/2023,3,1,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,0,0-0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,77.58958,1.328397,-0.476987,2426.52694,72.876663,8:30,5.33839,0.80936,4.63602,-51.60404,-2.67103,-13.89107,2.30084,-0.80157,70.88458,-7.954879,-2.9152,0.503469,,,,,,,,,,,,6.63075,-1.20323,-0.74704,50,5.42729,1.53003,-112.45537,0.67864,8.4368,21.61008,-33.70501,74.86551,,6.705,,,,1000079507,Right,55.86337,-113.57652,10.80504,5.34672,2.42728,-16.8525,-0.81506,1.09232,4.2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,2/9/2023,3,2,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,1,0-1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,87.28663,-1.063242,-3.382238,2210.779764,244.495056,2:15,5.29578,0.70927,5.15766,-27.74671,10.59898,19.25804,1.98087,-0.8733,78.65534,-6.195123,0.023279,0.445687,,,,,,,,,,,,-10.61749,6.02579,-0.40845,50,5.1756,6.57207,-126.2536,-3.35838,-16.88774,29.20121,-22.58966,84.57159,,8.6313,,,,1000079507,Right,55.33891,-127.48245,14.60061,5.29693,-2.40775,-11.29483,-0.69998,7.28274,-8.44387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/9/2023,3,3,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,0,2,0-2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.739,-0.17886,-4.006935,2195.296256,244.328371,2:15,5.23259,0.64996,5.34941,-26.04328,10.66583,19.48332,2.89414,-1.49088,80.12322,-5.017245,-0.554619,0.436072,,,,,,,,,,,,-10.9465,5.77941,-0.303,50,5.19822,8.09922,-128.39474,-1.33561,-18.0855,29.12995,-22.62548,86.43623,,8.61577,,,,1000079507,Right,55.14797,-129.55744,14.56498,5.23351,-0.43254,-11.31274,-0.64068,8.82109,-9.04275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/9/2023,3,4,1000036206,Right,T_A,1000103136,Right,T_B,1,Top,1,1,2,1-2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,83.75674,-0.805794,-3.579182,1880.36741,253.155885,2:30,5.02169,0.83256,5.4319,-33.94045,6.96386,18.37836,1.43716,-0.99222,76.19029,-7.051697,-0.312353,0.460316,72.59416,25.515604,19.78093,3911.740043,100.53931,36.06759,44.62949,226.75082,220.14615,28.650518,3.324727,-10.36567,4.13733,-0.52852,50,4.92676,6.82333,-121.32415,-2.88629,-15.33427,25.39843,-26.05358,81.88386,36.9748,7.56644,2.14508,1.52059,0.98006,1000079507,Right,55.06766,-122.38044,12.69922,5.02427,-1.80276,-13.02679,-0.82555,7.46106,-7.66713,216.532333,2.14496,90.42117,-16.11962,3.45773,-0.76365,0.18387,-0.03994,0.00533,-0.00027,1.52071,45.85811,-15.90137,0.74824,0.03105,-0.08467,0.03091,-0.00433,0.00017,0.98008,32.51675,0.38436,-0.3213,0.17013,-0.08268,0.02685,-0.00482,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
7,2/9/2023,4,1,1000036206,Right,T_A,1000051953,Right,T_B,1,Top,2,0,0,0-0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Error,0,0,81.88869,-0.716145,-2.214155,1890.975124,253.342846,2:30,5.03587,0.86286,5.37673,-35.76738,6.94788,18.45887,1.38335,0.32435,74.73298,-7.282684,1.069465,0.470395,81.89388,-13.8421,-46.39659,,,,,8.8164,8.8164,-33.025663,0.053908,-10.02091,4.08355,-0.67842,50,4.9464,3.84649,-118.78206,-2.70797,-14.22743,24.07969,-26.37636,80.1293,1.55147,7.15571,3.04945,1.55147,-0.24558,1000079507,Right,55.12367,-119.81624,12.03985,5.03838,-1.57516,-13.18818,-0.85674,4.45753,-7.11372,180,3.04838,80.55357,,,,,,,,1.55186,-28.7802,,,,,,,,-0.24446,-84.5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
8,2/9/2023,5,1,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,0,0-0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,81.84218,-0.109766,-1.992325,1753.753671,262.391012,2:45,5.04265,1.06792,5.41504,-38.43065,4.53646,22.6447,1.7372,1.0878,74.20824,-7.17525,2.039492,0.47178,,,,,,,,,,,,-11.96083,2.77776,-0.90692,50,5.00643,3.17875,-118.65531,-1.55904,-16.83426,25.40969,-28.26448,79.89409,,7.63393,,,,1000079507,Right,55.08348,-119.73898,12.70485,5.04721,-0.35362,-14.13224,-1.0578,3.89669,-8.41713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,2/9/2023,5,2,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,1,0-1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,82.86657,-0.38121,-2.250958,1838.793447,246.091373,2:15,4.98845,1.21355,5.3796,-32.33624,9.73678,18.53485,1.93613,0.64693,74.84542,-6.368178,1.044362,0.466846,55.78975,-48.493455,80.036593,,,,,3.08324,2.63366,21.367449,0.033292,-10.09839,5.42937,-1.0259,50,4.93178,3.95054,-120.0751,-1.89367,-14.52014,26.53563,-24.36736,80.73856,2.04982,8.02115,2.55746,2.04982,-0.66321,1000079507,Right,55.11905,-121.20108,13.26782,4.99019,-0.85969,-12.18368,-1.20661,4.56668,-7.26007,,2.55722,9.42696,,,,,,,,2.05138,-61.56997,,,,,,,,-0.66458,53.66333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
10,2/9/2023,5,3,1000036206,Right,T_A,1000055244,Left,T_B,1,Top,2,0,2,0-2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,89.60796,0.188454,-2.072494,2147.826382,251.238454,2:15,5.09487,1.08049,5.37167,-27.56281,8.31296,20.77796,2.97477,0.86804,80.97838,-4.919444,1.620192,0.431094,,,,,,,,,,,,-11.05465,4.47839,-0.9099,50,5.09255,3.74801,-129.89577,-0.58674,-18.66646,30.18118,-24.61199,87.43434,,8.62958,,,,1000079507,Right,55.12658,-131.08151,15.09059,5.09661,0.38021,-12.30599,-1.07156,4.48137,-9.33323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
11,2/9/2023,1,1,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,0,0,0-0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,89.85413,-2.028234,-4.388714,2268.913608,239.768707,2:00,5.06173,2.83826,6.10633,-26.07206,8.65382,12.8167,1.00717,-0.16006,81.73956,-6.898015,-2.086377,0.424129,,,,,,,,,,,,-7.95737,5.41902,-2.50727,50,4.89178,9.45889,-130.0919,-5.46913,-13.53558,29.18055,-22.95623,88.87021,,8.11457,,,,1000103236,Right,54.39276,-131.07352,14.59028,5.06278,-4.69689,-11.47811,-2.83313,9.91423,-6.76779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
12,2/9/2023,1,2,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,1,0,1-0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,88.01792,-1.028148,-3.691261,2243.343542,238.586318,2:00,5.03165,3.00266,6.08843,-30.82061,5.28425,6.68189,1.5101,0.14014,80.20842,-6.756131,-2.490207,0.432468,,,,,,,,,,,,-4.56091,3.37776,-2.72115,50,4.93593,7.96304,-127.59832,-3.31116,-7.46767,27.93971,-26.64356,87.15658,,7.8095,,,,1000103236,Right,54.41047,-128.56044,13.96986,5.03415,-2.39368,-13.32178,-2.99979,8.2202,-3.73384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
13,2/9/2023,1,3,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,1,1,1-1,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,81.16662,-0.690651,-3.495886,2541.937618,82.004716,8:45,5.22579,3.03337,5.61672,-42.89203,0.46071,-7.03756,1.00565,-0.81981,74.1758,-8.526933,-4.749874,0.473892,,,,,,,,,,,,2.4948,0.8798,-2.73002,50,5.13925,7.46241,-117.57715,-2.87057,3.45747,24.37538,-30.95475,79.53798,,6.99082,,,,1000103236,Right,54.8817,-118.58487,12.18769,5.23147,-1.59084,-15.47738,-3.03557,7.31948,1.72873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
14,2/9/2023,1,4,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,1,2,1-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,82.08433,-1.18795,-4.977364,2652.091103,73.627024,8:30,5.10665,3.03359,5.57074,-43.72924,-1.04524,-8.40654,0.34854,-2.32798,75.10814,-9.129023,-6.468451,0.470223,,,,,,,,,,,,2.74189,0.18957,-2.59792,50,4.97503,10.66487,-118.66925,-3.96411,3.8634,25.22986,-31.90697,80.15862,,6.97619,,,,1000103236,Right,54.92933,-119.71267,12.61493,5.11168,-2.64455,-15.95348,-3.03568,10.5051,1.9317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
15,2/9/2023,1,5,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,2,2,2-2,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,90.35979,-1.578527,-3.338526,2274.179935,235.70583,1:45,5.25492,2.94434,6.41885,-26.2612,7.73792,9.5913,1.61253,0.67108,81.84806,-6.521362,-1.602364,0.419668,,,,,,,,,,,,-6.12138,4.8726,-2.71022,50,5.13014,7.2701,-131.0341,-4.4287,-10.49839,31.19469,-23.81738,89.815,,8.51172,,,,1000103236,Right,54.08048,-132.00195,15.59735,5.25608,-3.68974,-11.90869,-2.94083,7.59582,-5.2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
16,2/9/2023,1,6,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,81.9362,-0.760438,-4.197242,2609.700132,74.007486,8:30,5.17544,2.84344,5.3407,-45.03424,-2.05146,-11.99564,0.70726,-2.1007,75.18642,-8.904251,-6.319462,0.471866,,,,,,,,,,,,4.7911,-0.43339,-2.45531,50,5.07425,9.19036,-118.59491,-3.17942,6.76554,24.47909,-32.78601,79.87955,,6.74978,,,,1000103236,Right,55.15957,-119.65515,12.23954,5.18121,-1.75939,-16.39301,-2.84702,8.89733,3.38277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
17,2/9/2023,1,7,1000064685,Right,T_B,1000110355,Right,T_A,1,Bottom,0,3,2,3-2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,90.32041,-1.841679,-2.025959,2287.035865,204.121497,12:45,5.05591,2.98094,6.14127,-20.44312,13.68139,5.61614,1.64872,1.57592,82.23687,-5.706275,-1.01359,0.42044,,,,,,,,,,,,-3.49189,7.95205,-2.8293,50,4.90488,4.40188,-131.0645,-4.83828,-6.03982,29.15359,-18.41962,89.64991,,8.08354,,,,1000103236,Right,54.35606,-132.02989,14.57679,5.055,-4.22833,-9.20981,-2.97838,4.60189,-3.01991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
18,2/9/2023,2,1,1000064685,Right,T_B,1000049656,Left,T_A,1,Bottom,0,0,0,0-0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,FieldersChoice,1,0,90.2109,-1.696595,-4.230233,2334.577541,224.816415,1:30,5.17721,2.92931,6.23699,-21.6069,12.66158,11.41386,1.80686,-0.02886,81.90645,-5.782378,-2.175686,0.421326,96.7429,0.631789,31.671582,3896.682749,,,,48.78099,44.04833,31.791739,0.345905,-7.23985,7.42831,-2.61917,50,5.0397,9.2079,-130.68065,-4.5348,-12.41742,29.63785,-19.43338,89.46136,1.7888,8.30445,2.69882,1.75852,0.05534,1000103236,Right,54.26222,-131.64376,14.81893,5.1768,-3.9033,-9.71669,-2.92495,9.61142,-6.20871,283.155187,2.70784,120.40244,-24.2541,,,,,,,1.7634,1.37604,-18.75528,,,,,,,0.05266,74.59932,-1.29549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,v3
19,2/9/2023,3,1,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,0,0,0-0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,82.10398,1.622833,-2.930187,2603.65167,70.508369,8:15,5.29357,2.85889,5.04086,-45.57286,-2.24744,-10.46898,3.02912,-0.78008,74.60754,-6.645275,-4.774362,0.473743,,,,,,,,,,,,4.2617,-1.14461,-2.57044,50,5.41241,6.5404,-118.83666,1.65773,6.03147,24.96518,-33.79398,79.56306,,7.49644,,,,1000103236,Right,55.45707,-119.9776,12.48259,5.30136,3.20216,-16.89699,-2.86305,6.26475,3.01573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
20,2/9/2023,3,2,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,0,1,0-1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,81.94772,-2.023379,-5.284622,2644.11777,68.363486,8:15,5.21554,2.92697,5.31585,-46.12754,-2.80681,-10.67886,-0.53633,-2.93686,75.25629,-10.309726,-7.169152,0.473717,,,,,,,,,,,,3.77276,-0.45646,-2.43863,50,4.99768,11.37226,-118.33258,-5.83203,5.28531,25.10627,-32.81353,79.56735,,6.69142,,,,1000103236,Right,55.18496,-119.42759,12.55314,5.22084,-4.40087,-16.40677,-2.92961,11.14174,2.64265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
21,2/9/2023,3,3,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,1,1,1-1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,81.30713,-0.716634,-3.47153,2671.452791,63.910945,8:15,5.21678,2.83093,5.28599,-48.21715,-4.56752,-12.19367,0.52445,-1.44917,74.6944,-9.418978,-5.631819,0.475512,,,,,,,,,,,,5.10323,-1.71197,-2.50485,50,5.11583,7.64014,-117.79311,-3.20371,7.11065,24.10677,-34.55946,79.26699,,6.61273,,,,1000103236,Right,55.21488,-118.85557,12.05339,5.22346,-1.68058,-17.27973,-2.83467,7.32676,3.55533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
22,2/9/2023,3,4,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,2,1,2-1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,89.43766,-0.82891,-3.915824,2241.651965,207.783451,1:00,5.15551,2.9164,6.17619,-18.43442,16.30599,7.99485,2.85195,-0.03935,81.466,-4.340383,-2.47856,0.424218,,,,,,,,,,,,-5.22768,8.99898,-2.6238,50,5.08318,8.54307,-129.65189,-2.40254,-8.87857,27.66822,-16.89044,88.85166,,7.97166,,,,1000103236,Right,54.32097,-130.57075,13.83411,5.15366,-1.84161,-8.44522,-2.9124,8.83793,-4.43928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
23,2/9/2023,3,5,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,82.23266,-1.897396,-5.089872,2661.178733,66.499762,8:15,5.25292,2.78933,5.26193,-45.90274,-3.05953,-10.12961,-0.36258,-2.84925,75.86002,-10.13085,-6.876783,0.471099,,,,,,,,,,,,3.63146,-0.67193,-2.31424,50,5.04419,10.99347,-118.84993,-5.59995,5.16189,24.10234,-33.12918,80.00955,,6.37263,,,,1000103236,Right,55.23949,-119.90777,12.05117,5.25806,-4.14592,-16.56459,-2.79176,10.76692,2.58094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
24,2/9/2023,3,6,1000064685,Right,T_B,1000187798,Right,T_A,1,Bottom,1,3,2,3-2,Slider,Slider,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,80.84327,1.871809,-1.183493,2585.641662,80.387981,8:45,5.18548,3.0664,5.44667,-43.93746,-0.26689,-9.8663,3.27752,1.136,73.75668,-6.17365,-2.938765,0.475626,,,,,,,,,,,,4.59225,-0.21594,-2.95499,50,5.32086,2.82906,-117.26816,2.29934,6.36562,23.11921,-32.47339,79.24801,,7.08659,,,,1000103236,Right,55.05168,-118.2599,11.55961,5.19235,3.69234,-16.23669,-3.07049,2.55599,3.18281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
25,2/9/2023,4,1,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,0,0,0-0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,90.36031,-1.346296,-4.437247,2328.717563,244.614114,2:15,5.16586,2.88654,6.26115,-27.81005,6.37469,10.9517,1.60306,-0.30033,82.02706,-6.547203,-2.464884,0.420812,,,,,,,,,,,,-6.99284,4.08851,-2.56199,50,5.05243,9.69533,-130.83981,-3.99342,-12.0131,29.92095,-25.15034,89.57082,,8.33325,,,,1000103236,Right,54.23593,-131.80494,14.96048,5.16816,-3.18217,-12.57517,-2.88097,10.08283,-6.00655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
26,2/9/2023,4,2,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,0,1,0-1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,85.57999,-0.582952,-2.057148,2285.863927,254.951784,2:30,5.03163,3.05922,5.90423,-32.13573,6.63059,19.36568,1.81215,2.76262,77.14557,-6.575983,1.421632,0.448124,,,,,,,,,,,,-10.48839,4.03327,-2.90445,50,4.96683,3.64002,-124.06922,-2.32676,-16.05904,28.92174,-25.99858,84.11155,,8.43442,,,,1000103236,Right,54.59197,-125.13507,14.46087,5.03492,-1.36864,-12.99929,-3.0495,4.23185,-8.02952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
27,2/9/2023,4,3,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,1,1,1-1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,86.74278,-2.717651,-5.139141,2214.68878,251.178226,2:15,4.94528,2.93998,6.03508,-29.38053,8.19083,20.11505,-0.03166,-0.15533,78.77617,-8.183836,-1.532246,0.441164,,,,,,,,,,,,-11.97493,5.43473,-2.54881,50,4.71632,10.4692,-125.36645,-6.9183,-18.86285,27.7662,-23.61329,85.43866,,7.96661,,,,1000103236,Right,54.46459,-126.3514,13.8831,4.94687,-6.08067,-11.80664,-2.93205,11.13832,-9.43143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
28,2/9/2023,4,4,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,2,1,2-1,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,89.81541,-1.217305,-3.582563,2161.257831,227.176704,1:30,5.11524,2.94687,6.19456,-24.45462,10.00067,9.56567,1.95116,0.43226,81.85527,-5.807546,-1.859818,0.422473,,,,,,,,,,,,-6.035,5.86811,-2.68174,50,5.01106,7.77213,-130.26375,-3.54488,-10.31941,28.60182,-22.14006,89.21849,,7.96014,,,,1000103236,Right,54.3049,-131.20557,14.30091,5.11579,-2.81584,-11.07003,-2.94326,8.11194,-5.1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
29,2/9/2023,4,5,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,81.26655,2.04188,-0.80941,2389.949693,85.244066,8:45,5.22569,2.9362,5.52002,-42.30695,0.64795,-8.34028,3.61021,1.48435,74.29703,-5.718258,-2.295503,0.471713,,,,,,,,,,,,3.96134,0.19122,-2.86011,50,5.37533,2.00714,-117.93428,2.74166,5.57286,22.66072,-31.90501,79.90547,,6.96952,,,,1000103236,Right,54.97861,-118.88706,11.33036,5.23185,4.08311,-15.95251,-2.93958,1.77282,2.78643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
30,2/9/2023,4,6,1000064685,Right,T_B,1000079407,Left,T_A,1,Bottom,2,3,2,3-2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,88.99513,0.242727,-2.161976,2240.603303,202.66674,12:45,5.28702,3.05705,6.0345,-25.65694,9.21973,3.42209,3.37387,1.3393,81.80872,-4.543486,-1.546705,0.425049,,,,,,,,,,,,-2.31819,5.00807,-2.89002,50,5.29206,4.73991,-129.3165,-0.29382,-3.95028,25.3739,-23.64011,88.6779,,7.18642,,,,1000103236,Right,54.46401,-130.18946,12.68695,5.28818,0.5195,-11.82006,-3.05542,4.87581,-1.97514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
31,2/9/2023,1,1,1000036206,Right,T_A,1000094105,Right,T_B,2,Top,0,0,0,0-0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,76.84801,1.926341,-0.306636,2399.208349,112.143381,9:45,5.49703,0.80807,4.55076,-45.34853,4.82032,-7.67685,3.55237,-0.12355,69.79007,-6.283637,-1.650587,0.509787,,,,,,,,,,,,3.62851,2.28795,-0.76854,50,5.65518,0.92581,-111.25523,2.08527,4.5149,21.31089,-29.32717,73.93767,,7.05794,,,,1000079507,Right,55.9457,-112.38836,10.65544,5.50285,3.64463,-14.66358,-0.81138,0.68574,2.25745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
