PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
253,2/8/2023,2,2,1000064440,Left,T_B,1000049656,Right,T_A,9,Bottom,1,1,0,1-0,Fastball,Cutter,InPlay,Undefined,FlyBall,FlyBall,Sacrifice,1,1,85.95996,-1.302429,2.916969,1702.00463,189.844177,12:15,5.57574,-2.44059,6.4904,-26.7536,10.36619,1.59154,2.14885,0.37224,78.6225,-6.334907,3.20536,0.438505,82.95526,31.33955,-24.588667,2712.003317,97.75868,58.06634,-50.4305,303.72664,299.1021,-32.057101,4.730048,0.00823,6.165,2.23526,50,5.4725,-6.4177,-124.80881,-3.6076,0.01295,26.15294,-22.4925,85.95677,70.80093,7.33747,2.5074,2.34482,-0.33274,1000055344,Right,54.00894,-125.64605,13.07647,5.57646,-2.88754,-11.24625,2.44072,-6.41812,0.00647,155.825287,2.50988,94.43793,-19.14124,4.14326,-0.47449,-0.0645,0.03367,-0.00457,0.00021,2.34358,63.30111,-15.6263,0.50654,-0.03818,-0.00974,0.0128,-0.00306,0.00022,-0.33375,-43.21689,2.70763,0.07377,-0.18845,0.07105,-0.01508,0.00168,-8.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,v3
254,2/8/2023,3,1,1000064440,Left,T_B,1000066765,Right,T_A,9,Bottom,1,0,0,0-0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,77.30361,-2.251409,3.210473,1583.429035,161.586469,11:30,5.65869,-2.4062,5.77401,-29.49639,17.6656,-5.36744,1.10126,0.13712,70.93211,-7.737433,2.250841,0.494274,,,,,,,,,,,,3.6713,10.11717,2.14414,50,5.45463,-6.09074,-112.03387,-5.25273,4.65957,20.5068,-19.33347,76.25822,,6.3715,,,,1000055344,Right,54.725,-112.89542,10.2534,5.65825,-4.44047,-9.66674,2.40414,-6.2865,2.32978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
255,2/8/2023,3,2,1000064440,Left,T_B,1000066765,Right,T_A,9,Bottom,1,0,1,0-1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,86.67924,-2.779549,1.808686,1884.007859,167.3135,11:30,5.59432,-2.16231,6.32376,-22.22753,14.29194,-2.96343,1.17892,-0.743,79.75908,-6.958692,1.272405,0.434944,,,,,,,,,,,,2.02654,8.54024,2.03154,50,5.38042,-3.85996,-125.85192,-6.7501,3.26109,24.74361,-18.43124,86.66042,,6.92015,,,,1000055344,Right,54.17457,-126.67001,12.3718,5.59352,-6.14071,-9.21562,2.16095,-3.96778,1.63054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
256,2/8/2023,3,3,1000064440,Left,T_B,1000066765,Right,T_A,9,Bottom,2,0,2,0-2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,68.01979,3.590816,-1.131416,2270.595507,321.014557,4:45,5.61073,-2.33246,5.32647,-80.16953,-17.18292,15.76363,2.30446,-2.08063,61.69483,-10.959889,1.673674,0.57121,,,,,,,,,,,,-8.22792,-9.06241,2.42306,50,5.87826,1.38424,-98.49674,3.70119,-7.90905,18.78396,-40.88523,65.98705,,6.32496,,,,1000055344,Right,55.17731,-99.47919,9.39198,5.62876,5.83959,-20.44262,2.33984,1.7979,-3.95452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
257,2/8/2023,1,1,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,0,0,0-0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,86.2736,-0.743731,-2.571705,1634.243049,197.726664,12:30,5.74144,1.10936,6.11626,-24.11241,13.34753,3.86681,3.04371,-0.94772,78.48146,-5.290211,-1.87567,0.440509,,,,,,,,,,,,-2.75752,7.48457,-0.91413,50,5.67183,5.4684,-125.18279,-2.34662,-4.34781,26.77353,-20.37299,85.5656,,7.79214,,,,1000103236,Right,54.38104,-126.1163,13.38677,5.74126,-1.63628,-10.1865,-1.10744,5.61999,-2.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
258,2/8/2023,1,2,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,0,1,0-1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,78.70115,-0.550268,-1.839748,2230.199558,55.700806,7:45,6.03422,0.71292,5.32517,-46.59723,0.03512,-2.32429,1.63448,-1.20773,71.70988,-9.038094,-2.253134,0.49149,,,,,,,,,,,,0.58748,0.65516,-0.54474,50,5.95093,3.75682,-114.07061,-2.69214,0.76417,23.48697,-31.32184,76.69009,,6.99127,,,,1000103236,Right,55.17295,-115.13079,11.74348,6.04054,-1.2783,-15.66092,-0.71354,3.72233,0.38209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
259,2/8/2023,1,3,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,0,2,0-2,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,88.77331,0.257255,-0.600081,1659.46645,190.641762,12:15,5.84181,0.74964,5.80057,-18.82501,17.30304,3.00374,4.51235,0.44181,79.7191,-3.345756,-0.061986,0.432607,,,,,,,,,,,,-1.71201,9.08973,-0.70208,50,5.85189,1.21493,-128.69464,0.02644,-2.82352,30.84761,-17.18288,87.12856,,9.0542,,,,1000103236,Right,54.69319,-129.8147,15.4238,5.8396,0.65034,-8.59144,-0.74806,1.31745,-1.41176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
260,2/8/2023,1,4,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,1,2,1-2,Fastball,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,88.34027,-0.949757,-4.236543,1645.751894,175.268205,11:45,6.18482,0.23217,6.18606,-22.06336,13.55552,-1.02784,3.46677,-3.77244,80.70539,-5.104325,-4.421088,0.429548,,,,,,,,,,,,-0.67232,7.62906,0.08837,50,6.10176,9.52376,-127.99575,-2.78531,-1.11349,26.82824,-19.53895,87.74912,,7.63489,,,,1000103236,Right,54.31028,-128.89603,13.41412,6.18422,-2.12963,-9.76948,-0.23185,9.56113,-0.55674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
261,2/8/2023,1,5,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,78.15871,1.264195,-1.96907,2152.940215,76.181554,8:30,5.91764,0.76826,5.56008,-46.29947,0.61264,-4.15047,3.24135,-1.41798,70.88512,-7.244445,-2.709082,0.492962,,,,,,,,,,,,1.4665,0.41713,-0.59543,50,5.99669,4.05755,-113.2773,0.97486,1.8804,23.23516,-31.63921,76.46107,,7.27359,,,,1000103236,Right,54.93706,-114.2855,11.61758,5.9246,2.34771,-15.81961,-0.76972,3.97595,0.9402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
262,2/8/2023,1,6,1000103199,Right,T_A,1000064785,Right,T_B,10,Top,0,3,2,3-2,Slider,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,77.55584,0.274154,-1.995506,2139.883101,60.285534,8:00,5.80088,0.8543,5.3904,-49.21164,-1.16587,-5.03,1.95701,-1.43588,70.42773,-8.711571,-2.890528,0.498883,,,,,,,,,,,,1.89339,-0.23402,-0.67231,50,5.7907,4.11108,-112.39698,-1.10487,2.38256,23.47366,-32.46853,75.55361,,7.12811,,,,1000103236,Right,55.10837,-113.45883,11.73683,5.80746,0.36387,-16.23427,-0.85584,4.0033,1.19128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
